Date,Location,Pint,Number,Cost (per pint),Company,Comments,Spend,Column 1,Column 2,Column 3
23/05/2025,"Duke of Wellington, Haggerston",Guinness,3,£6.00,"Laurie, Tor, Finn, Anna, Els",,£18.00,,,
24/05/2025,"Crol and Co, Bermondsey",Guinness,2,£6.50,Ellie S,,£13.00,,,
24/05/2025,"The Barrel Project, Bermondsey",Brightside,1,£6.65,"Jeremy, Tom M, Tom H, Sarah D, Holly J, Alex K, Dylan ",,£6.65,,,
24/05/2025,"The Barrel Project, Bermondsey",Streetlife,2,£6.45,"Jeremy, Tom M, Tom H, Sarah D, Holly J, Alex K, Dylan ",,£12.90,,,
24/05/2025,"Fabal Beer Hall, Bermondsey",Fest lager,2,£6.90,"Jeremy, Tom M, Tom H, Sarah D, Holly J, Alex K, Dylan ",,£13.80,,,
24/05/2025,"The Craft Beer Shack, Bermondsey",Glasshouse,2,£7.70,"Jeremy, Tom M, Tom H, Sarah D, Holly J, Alex K, Dylan ",,£15.40,,,
25/05/2025,"The Mute Swan, Hampton Court",Guinness,2,£6.50,"Dan R, Issy, Juhi, Hannah",River run,£13.00,,,
26/05/2025,"Royal Oak, Columbia Road",Guinness,2.5,£7.40,Róisín,A lovely Bank Holiday Monday,£18.50,,,
27/05/2025,"The Windmill, Stansted Airport",Guinness,1,£7.00,Solo,,£7.00,,,
27/05/2025,"Ristorante il toscano, Pisa",Moretti,1,£6.30,Solo,The shadow of the lean,£6.30,,,
27/05/2025,"La Lanterna, Pisa",Moretti,2,£6.30,Solo,,£12.60,,,
27/05/2025,"Cafe Albatross, Pisa",Languinitas,1,£5.05,Solo,,£5.05,,,
30/05/2025,"Bellosguardo Golf Club, ",Menabrea,1,£6.00,"Sam, Hayden, Tim, Rocky, James R, Charlie N, Rick, Conor F",,£6.00,,,
02/06/2025,"Alfieri Cafe, Florence",Birra Messina,2,£6.00,"Rick, Lynn",,£12.00,,,
03/06/2025,"Ristorante Griglieria Il Bargello, Florence",Birra Moretti,4,£6.75,"Sam, Conor F, James, Charlotte, Ellie C, Rick, Lynn",,£27.00,,,
04/06/2025,Gusta Pizza,Birra Moretti,2,£6.00,"Sam, Conor F, James, Charlotte, Ellie C",,£12.00,,,
04/06/2025,"Ristorante Borgo Antico, Florence",Birra Moretti,1,£5.00,"Sam, Conor F, James, Ellie C, Charlotte, Rachel F, Max F",,£5.00,,,
04/06/2025,"Osteria San Fiorenzo, Florence ",Birra Moretti,1,£5.00,"Sam, Conor F, James, Charlotte, Ellie C",,£5.00,,,
04/06/2025,"The Lion's Fountain, Florence",Guiness,3,£5.93,"Rick, Sam, Conor F, James, Ellie, Charlotte, Bella, Able",,£17.79,,,
05/06/2025,"Ristorante Vittorio Emanuele, Verona",Birra Moretti,1,£5.93,"Rick, Lynn",,£5.93,,,
06/06/2025,"Ristorante La Nuova Perla, Venice",Birra Moretti,1,£5.93,"Rick, Lynn",,£5.93,,,
10/06/2025,"The Virgin Queen, Hackney",Guinness,4,£6.20,Roisin,,£24.80,,,
11/06/2025,"Sun of Camberwell, Camberwell",Blue Moon,1,£7.20,"Georgia B, Nikhita, Pete, Annie M",,£7.20,,,
11/06/2025,"Sun of Camberwell, Camberwell",Murphy's,1,£6.25,"Georgia B, Nikhita, Pete, Annie M",,£6.25,,,
11/06/2025,"Sun of Camberwell, Camberwell",Guinness,4,£6.50,"Georgia B, Nikhita, Pete, Annie M",,£26.00,,,
12/06/2025,"Cafe Del Marsh, Waterloo",Mahou,4,£6.50,"Sachin, Tom C, James N, Charlie S, Lucy, Lily",,£26.00,,,
12/06/2025,"Cafe Del Marsh, Waterloo",Camden Hells,2,£6.50,"Sachin, Tom C, James N, Charlie S, Lucy, Lily",,£13.00,,,
14/06/2025,"Beefeater, Macclesfield",Guinness,1,£5.65,"Laurie, Iain",,£5.65,,,
14/06/2025,"Ye Olde Admiral Rodney, Prestbury",Guinness,7.5,£6.00,Sam's Celebration of Life,400 BABY,£45.00,,,
18/06/2025,"The Liberty Bounds, Tower Hill",Leffe,1,£5.50,"Ellen, Ruby, Abeer, Robbie, Tan",,£5.50,,,
18/06/2025,"The Liberty Bounds, Tower Hill",Guinness,3,£5.64,"Ellen, Ruby, Abeer, Robbie, Tan",Not found,£16.92,,,
19/06/2025,"The Falcon, Clapham North",Camden Pale,2,£7.65,Roisin,,£15.30,,,
19/06/2025,"The Falcon, Clapham North",Stonewood Pale,0.5,£0.00,Roisin,,£0.00,,,
21/06/2025,"Frank's, Peckham",Estrella,1,£7.35,"Oli, Thiri, Vicky",,£7.35,,,
21/06/2025,"Frank's, Peckham",Shipyard,3,£7.35,"Oli, Thiri, Vicky",,£22.05,,,
25/06/2025,"The Mute Swan, Hampton Court",Asahi,1,£6.50,"Sam, Ellie",,£6.50,,,
25/06/2025,"The Mitre, Hampton Court",Stonewall,1,£6.50,"Sam, Ellie, Rick, Lynn",,£6.50,,,
25/06/2025,"The Mitre, Hampton Court",Six Wives,1,£6.50,"Sam, Ellie, Rick, Lynn",,£6.50,,,
27/06/2025,"The King's Arms, Waterloo",Soundwave,1,£7.20,Nick T,,£7.20,,,
28/06/2025,"Poco, Sheffield",Cruzcampo,7,£5.50,"Georgia B, Emma H",,£38.50,,,
01/07/2025,"The Marquess Tavern, Canonbury",Birra Moretti,1,£6.85,Roisin,,£6.85,,,
01/07/2025,"The Marquess Tavern, Canonbury",Guinness,1,£6.30,Roisin,,£6.30,,,
02/07/2025,"Birdhouse, Herne Hill",Pale Ale,7,£4.00,"Alex, Dan R, Jo H, Georgia B, Hannah S",,£28.00,,,
03/07/2025,"Duke of Wellington, Haggerston",Guinness,2.5,£6.40,"Stanley, Noah",,£16.00,,,
03/07/2025,"By the bridge cafe, Haggerston ",Guinness,1,£7.00,"Stanley, Noah, Ellie A",,£7.00,,,
04/07/2025,"Flying Horse, Gatwick Airport",Guinness,2,£6.90,"Sachin, Laurie",,£13.80,,,
04/07/2025,"Bar Sport, San Sebastian",San Seb Beer,0.5,£4.32,"Sachin, Laurie",,£2.16,,,
04/07/2025,"Bardulia Donostia, San Sebastian",San Seb Beer,1,£4.32,"Sachin, Laurie",,£4.32,,,
04/07/2025,"Garagas, San Sebastian",San Seb Beer,1,£6.88,"Sachin, Laurie",,£6.88,,,
04/07/2025,"Kamal Ostrategi Donostiarra, San Sebastian",San Seb Beer,1,£4.32,"Sachin, Laurie",,£4.32,,,
04/07/2025,"Casa Vergara, San Sebastian",San Seb Beer,1,£4.32,"Sachin, Laurie",,£4.32,,,
04/07/2025,"Bar Antonio, San Sebastian",San Seb Beer,1,£4.32,"Sachin, Laurie",,£4.32,,,
04/07/2025,"Akerbeltz, San Sebastian",San Seb Beer,1.5,£4.32,"Sachin, Laurie",,£6.48,,,
05/07/2025,"Akerbeltz, San Sebastian",San Seb Beer,0.5,£4.32,"Sachin, Laurie",,£2.16,,,
05/07/2025,"El Bar de Villa Favorita, San Sebastian",San Seb Beer,0.5,£6.00,"Sachin, Laurie",,£3.00,,,
05/07/2025,"Zmare, San Sebastian",San Seb Beer,0.5,£6.00,"Sachin, Laurie",,£3.00,,,
06/07/2025,La Cuchara de San Telmo,San Seb Beer,0.5,£4.32,"Sachin, Laurie",,£2.16,,,
06/07/2025,"Akerbeltz, San Sebastian",San Seb Beer,1,£4.32,"Sachin, Laurie",,£4.32,,,
06/07/2025,"Izkina Taberna Jatetxea, San Sebastian",San Seb Beer,1,£6.00,"Sachin, Laurie",,£6.00,,,
